지역,2018,2019,2020,2021,2022
서울,41.5,46.3,49.2,52.6,60.5
부산,31.6,32.5,34.0,42.1,45.0
대구,33.2,34.2,34.4,42.2,46.9
인천,30.0,33.4,32.9,38.9,39.7
광주,31.0,31.9,33.2,37.4,41.4
대전,29.3,31.7,34.9,35.3,41.1
울산,29.1,30.3,31.0,34.0,39.3
세종,33.4,40.2,37.2,40.6,45.8
경기,33.2,35.7,35.7,42.2,47.3
강원,25.5,20.9,23.3,28.9,30.7
충북,29.1,25.9,25.7,28.7,35.0
충남,20.2,28.1,21.1,29.2,33.6
전북,24.5,27.6,26.3,30.0,30.3
전남,22.0,22.6,23.0,25.6,30.8
경북,26.4,25.7,27.2,31.6,32.4
경남,22.6,28.9,28.1,29.8,35.4
제주,28.2,29.8,28.9,34.2,36.4
